year,season,breeding_code,observations,percentage_of_season,rank,source_file,period,analysis_period,decade,breeding_success_indicator,territorial_behavior
2014,Summer,FL,4,22.2,2,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,True,False
2014,Summer,CN,2,11.1,3,baseline_2010_2014.csv,2010_2014,Growth_2010_2014,2010,False,False
2015,Spring,C,4,40.0,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,True
2015,Spring,CN,2,20.0,2,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,False
2015,Spring,FL,1,10.0,3,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2015,Summer,FL,2,40.0,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2015,Summer,CN,1,20.0,2,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,False
2015,Summer,NY,1,20.0,3,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2015,Fall,FL,2,100.0,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2016,Spring,S7,2,22.2,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,True
2016,Spring,FL,2,22.2,2,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2016,Spring,NB,2,22.2,3,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,False
2016,Summer,FL,3,60.0,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2016,Summer,NY,1,20.0,2,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2016,Summer,ON,1,20.0,3,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2016,Winter,A,1,50.0,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,False
2016,Winter,ON,1,50.0,2,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2017,Spring,ON,6,30.0,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2017,Spring,CN,4,20.0,2,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,False
2017,Spring,NB,3,15.0,3,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,False
2017,Summer,ON,8,27.6,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2017,Summer,FL,7,24.1,2,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2017,Summer,C,6,20.7,3,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,True
2017,Fall,ON,8,66.7,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2017,Fall,S7,3,25.0,2,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,True
2017,Fall,NY,1,8.3,3,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2017,Winter,ON,4,80.0,1,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,True,False
2017,Winter,C,1,20.0,2,baseline_2015_2017.csv,2015_2017,Expansion_2015_2017,2010,False,True
2018,Spring,ON,24,42.1,1,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,True,False
2018,Spring,C,10,17.5,2,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,True
2018,Spring,S7,7,12.3,3,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,True
2018,Summer,S7,18,52.9,1,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,True
2018,Summer,FL,6,17.6,2,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,True,False
2018,Summer,C,4,11.8,3,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,True
2018,Fall,T,1,50.0,1,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,True
2018,Fall,NY,1,50.0,2,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,True,False
2018,Winter,NB,1,50.0,1,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,False
2018,Winter,CN,1,50.0,2,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,False
2019,Spring,ON,20,28.6,1,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,True,False
2019,Spring,NB,15,21.4,2,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,False
2019,Spring,S7,15,21.4,3,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,True
2019,Summer,S7,14,41.2,1,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,True
2019,Summer,CN,8,23.5,2,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,False
2019,Summer,ON,4,11.8,3,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,True,False
2019,Winter,S7,8,50.0,1,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,True
2019,Winter,C,7,43.8,2,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,True
2019,Winter,N,1,6.3,3,baseline_2018_2019.csv,2018_2019,Maturation_2018_2019,2010,False,False
2020,Spring,C,20,20.6,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2020,Spring,ON,18,18.6,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2020,Spring,S7,17,17.5,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2020,Summer,S7,11,28.9,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2020,Summer,FL,9,23.7,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2020,Summer,C,5,13.2,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2020,Fall,ON,3,50.0,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2020,Fall,FL,2,33.3,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2020,Fall,N,1,16.7,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,False
2020,Winter,C,4,50.0,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2020,Winter,S7,3,37.5,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2020,Winter,ON,1,12.5,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2021,Spring,C,18,24.3,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2021,Spring,S7,15,20.3,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2021,Spring,ON,12,16.2,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2021,Summer,FL,14,25.5,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2021,Summer,S7,10,18.2,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2021,Summer,C,9,16.4,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2021,Fall,FL,5,71.4,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2021,Fall,B,1,14.3,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,False
2021,Fall,NY,1,14.3,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2021,Winter,C,11,64.7,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2021,Winter,ON,4,23.5,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2021,Winter,M,1,5.9,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,False
2022,Spring,S7,26,22.8,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2022,Spring,C,22,19.3,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2022,Spring,CN,19,16.7,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,False
2022,Summer,S7,32,52.5,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2022,Summer,FL,8,13.1,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2022,Summer,C,7,11.5,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2022,Fall,FL,2,100.0,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2022,Winter,C,9,45.0,1,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2022,Winter,S7,5,25.0,2,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,False,True
2022,Winter,ON,4,20.0,3,baseline_2020_2022.csv,2020_2022,COVID_Impact_2020_2022,2020,True,False
2023,Spring,S7,52,37.7,1,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2023,Spring,C,24,17.4,2,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2023,Spring,ON,19,13.8,3,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2023,Summer,S7,33,55.0,1,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2023,Summer,FL,6,10.0,2,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2023,Summer,C,5,8.3,3,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2023,Fall,FL,2,66.7,1,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2023,Fall,C,1,33.3,2,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2023,Winter,C,8,40.0,1,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2023,Winter,ON,4,20.0,2,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2023,Winter,S7,3,15.0,3,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2024,Spring,S7,32,41.0,1,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2024,Spring,FL,11,14.1,2,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2024,Spring,CN,10,12.8,3,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,False
2024,Summer,FL,16,30.8,1,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2024,Summer,S7,13,25.0,2,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2024,Summer,ON,7,13.5,3,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2024,Fall,FL,2,50.0,1,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2024,Fall,NY,1,25.0,2,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2024,Fall,ON,1,25.0,3,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,True,False
2024,Winter,S7,8,50.0,1,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2024,Winter,C,7,43.8,2,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,True
2024,Winter,N,1,6.3,3,baseline_2023_2024.csv,2023_2024,Recent_2023_2024,2020,False,False
